epsilon,test_samples,clean_accuracy,robust_accuracy,accuracy_drop,macro_f1,untargeted_asr,attack_successes,asr_denominator_clean_correct,linf_max,linf_mean
0.0,781,0.645326504481434,0.645326504481434,0.0,0.661057169301309,0.0,0,504,0.0,0.0
0.01,781,0.645326504481434,0.41613316261203587,0.22919334186939816,0.419492330663619,0.3551587301587302,179,504,0.01000000536441803,0.01000000536441803
0.03,781,0.645326504481434,0.24327784891165172,0.4020486555697823,0.24292897172892441,0.623015873015873,314,504,0.030000001192092896,0.030000001192092896
0.05,781,0.645326504481434,0.2023047375160051,0.44302176696542894,0.20664905910646353,0.6884920634920635,347,504,0.050000011920928955,0.050000011920928955
