callsgn,ptentYr,vyg,mmsiNo,imoNo,vslNm,lot,lat,sog,cog,rot,hdgAng,drft,nvgtStts,updtTm
150054,2026,009,440014660,,제37신흥호,129.36348167,35.4242,0,161,0,217,2.8,항해(동력),20260825014238
D7MW,2026,009,440207000,9578878,제7에스제이가스호,129.35228833,35.45404833,0,277,0,0,4.8,정박(계류),20260825014143
150041,2026,040,440204010,,5대보호,129.3794,35.351885,6,199,-3.6158633,261,3,,20260825001546
162805,2026,056,440305160,,유한1호,129.42577167,35.42762333,0,226,0,58,3.9,항해(동력),20260825014134
170036,2026,025,440053750,8530922,17유성호,129.36801667,35.50158,0,50,0,0,4,항해(동력),20260825013612
D7CA,2026,006,440351000,9253997,109효동케미,129.42301667,35.444535,0,0,0,204,4.2,정박(앵커링),20260825015007
230033,2026,054,440331750,9514872,보원호,129.333895,35.287585,9,215,0,0,4.4,조종 불가,20260825014457
212838,2026,059,440038740,8989678,제8우진호,129.36956667,35.50053333,0,21,0,191,3.1,항해(동력),20260825014839
240037,2026,076,440308690,,청해3호,129.37003333,35.50031167,1,179,-720,168,4.3,항해(비동력),20260825014919
160054,2026,007,440556000,9372626,모닝 누리,129.36390167,35.441265,0,0,0,247,7.7,항해(동력),20260821205509
D7VY,2026,005,441375000,9363807,JN NEPTUNE,129.456815,35.45016333,0,133,0,209,5.7,정박(앵커링),20260825014912
ZGFL9,2026,001,319091700,9374521,STOLT PONDO,129.378315,35.44075,0,114,0,23,7.5,정박(계류),20260825014439
3EOE8,2026,003,353465000,9693305,BUENA DIOSA,129.38018333,35.51713,0,190,0,274,4.3,정박(계류),20260825012535
180025,2026,030,440072080,9403267,디엘 루비,129.39060167,35.48852667,0,350,0,2,7.9,항해(동력),20260825014938
3FEE,2026,002,351168000,9422160,C. PRIMACY,129.39430333,35.42648167,0,272,0,0,15,정박(계류),20260825012803
160063,2026,055,440202770,9175896,스카이케미,129.36512833,35.50207833,0,35,0,154,6.2,항해(동력),20260825015000
3E3809,2026,002,352002133,8358154,FU YANG,129.37616,35.52810667,0,350,0,293,5.9,정박(계류),20260825014822
J5BE8,2026,002,630001274,8591524,JINHUA 9,129.438795,35.52661667,0,348,0,179,6.2,정박(계류),20260825013637
3E8894,2026,001,352005672,8998540,SHORYU 1,129.40967667,35.45563833,0,304,0,110,3.2,정박(앵커링),20260825014719
922051,2026,023,440122610,,신정701호,129.441375,35.52505667,0,225,0,0,0,정박(앵커링),20260825014811
925302,2026,001,440106050,,보성3호,129.375275,35.49983167,0,27,0,0,0,항해(동력),20260819085540
926603,2026,002,440121790,,101대동호,129.36607167,35.50399,0,300,0,0,1.8,,20260821091922
224816,2026,080,440197000,9401453,루비오션호,129.36812833,35.50148333,0,109,0,204,1.5,정박(계류),20260825014143
BPKC8,2026,001,413409620,9416513,SHI YUAN QI HANG,129.46009333,35.43093167,1,137,0,203,10.2,정박(앵커링),20260825014959
240043,2026,050,440401790,9442639,송덕,129.36705333,35.50233333,0,360,0,219,3.2,정박(앵커링),20260825014902
952112,2026,007,440006180,,금항8호,129.36574333,35.44632667,0,0,0,0,0,,20260824065651
204007,2026,055,440138770,9523304,럭키오션호,129.35485,35.45045667,0,0,0,45,4.2,항해(동력),20260825014956
OYHQ2,2026,001,219221000,9543043,HAPPY KESTREL,129.37550333,35.52259333,0,19,0,292,7.7,정박(계류),20260825014650
3EVD9,2026,002,355057000,9552692,EASTERN PHOENIX,129.441505,35.46153167,0,95,0,204,6.2,정박(앵커링),20260825014641
3EWO9,2026,001,354947000,9571222,LADY ROSALIA,129.37585833,35.52167833,0,355,0,8,5.9,정박(계류),20260825014821
236808,2026,043,440033210,,한동27호,129.36699,35.50243667,0,0,0,227,3,항해(동력),20260825014456
V3PP,2026,003,312922000,9625487,JIA LONG,129.41072,35.449585,0,211,0,0,6.4,정박(앵커링),20260825014146
300TNLETO,2026,026,440147320,9626352,티앤 레토,129.35234,35.454555,0,228,0,280,4.8,정박(계류),20260825013210
D5GB8,2026,003,636016414,9665803,MORNING SWAN,129.37171167,35.43190333,0,242,0,359,7.8,정박(계류),20260825014750
7JQC,2026,014,432941000,9682083,RYOUMEI MARU,129.399755,35.48217833,0,333,0,0,4.5,정박(앵커링),20260825014449
D7MA,2026,009,357667000,9687631,한유 임페리얼,129.43390833,35.45583833,0,193,0,205,4.9,항해(동력),20260825015008
C6BX4,2026,002,311000391,9706487,CLERMONT,129.391295,35.48514167,0,349,0,0,11.8,정박(계류),20260825012439
3FBF6,2026,033,373395000,9711585,ANGEL BLUE,129.40079167,35.48790333,0,258,0,336,4.2,정박(앵커링),20260825014830
V7GY5,2026,002,538005786,9727584,HAFNIA ACHROITE,129.36724,35.43791333,0,278,0,22,10.8,정박(계류),20260825013104
D5LZ9,2026,002,636017637,9748760,MELODY FAIR,129.39558,35.51438333,0,259,0,0,7.1,정박(계류),20260825014803
WDQ2825,2026,004,368411250,9776470,SL HAWAII,129.35806167,35.45027333,0,276,0,45,8.1,정박(계류),20260825013030
015862,2026,001,440054380,,칠성호,129.36618333,35.5035,0,50,0,0,3.5,항해(동력),20260821181119
171051,2026,018,440055410,00000012,17쌍용호,129.37283,35.523545,0,229,0,0,0,항해(동력),20260825014957
D7HR,2026,002,440274000,9837602,UNIVERSAL WINNER,129.47999833,35.41841333,2,98,-2.19,181,11,정박(앵커링),20260825014745
192801,2026,026,440187910,9843003,그레이스 알파,129.36017,35.44554667,1,298,0,188,6.2,항해(비동력),20260825014735
D8HZ,2026,018,440530000,9851373,골든 글로리,129.44090667,35.44833333,0,302,0,204,4.6,정박(앵커링),20260825014154
HZCX,2026,002,403745000,9853541,AYLA,129.36550833,35.44356167,0,34,0,204,7.9,정박(계류),20260825012558
9V6159,2026,007,563089200,9853644,PRINCESS DAISY,129.42531667,35.45897333,0,201,0,188,6,항해(동력),20260825014957
V7A4198,2026,001,538009013,9885910,BALZANI,129.464345,35.40227167,0,308,0,215,9.6,정박(앵커링),20260825014506
D7HF,2026,018,441497000,9887360,한유 프론티어,129.36433,35.503145,0,277,0,152,4.8,정박(계류),20260825012644
210036,2026,092,440036020,9923607,경성,129.39803,35.49083833,0,192,-.4,324,5.8,항해(동력),20260825013853
D7WW,2026,008,441409000,9926582,가스 프리웨이,129.41606167,35.458195,0,83,0,160,5.1,정박(앵커링),20260825014748
5LLX7,2026,002,636023095,9937971,CHEM ABBEY,129.36671167,35.44890667,0,140,0,0,8.3,정박(계류),20260825012448
9HA5878,2026,001,256542000,9953717,CMA CGM INDIANAPOLIS,129.38893,35.52495,0,236,0,331,8,정박(계류),20260825014808
7KNG,2026,022,431854000,9959890,유쇼 마루,129.61628667,35.23479333,11,143,0,149,4.8,항해(동력),20260825014918
V7A6193,2026,001,538010541,9969120,NEHIR,129.36050333,35.44026667,0,53,0,67,7.9,정박(계류),20260825014551
3E3650,2026,001,352001582,9973509,FU ZHI,129.37345333,35.52546333,0,279,0,22,5.5,정박(계류),20260825014950
S6UI5,2026,001,563329700,9981532,AL THUMAID,129.40353,35.482665,0,104,0,180,9.1,기동 제한,20260821101529
3E5148,2026,001,352003489,9984156,SAEHAN MARINA,129.42610167,35.42786333,0,120,0,221,6.7,정박(앵커링),20260825014709
231045,2026,005,440009710,9997373,제니스 머큐리,129.39442833,35.51669667,0,73,0,337,6.6,항해(비동력),20260825013533
3E8541,2026,003,352006078,9999541,GLOVIS TOPAZ,129.39185333,35.52065167,0,46,0,330,8.4,정박(계류),20260825014736
180003,2026,047,440132930,9284427,세양프라임,129.38638333,35.44693333,10,103,0,104,6.3,항해(동력),20260825014930
OZGA2,2026,002,310710000,9343194,TORM LEADER,129.43917833,35.427575,0,296,0,223,7.1,정박(앵커링),20260825014858
BPJO,2026,001,413336000,9396892,YIN NING,129.43838167,35.40685667,0,147,0,225,11,정박(앵커링),20260825014922
D8AA,2026,025,440122240,,울산709호,129.35417667,35.46006667,0,0,0,0,2.8,항해(동력),20260825014738
D9LT,2026,016,440114330,,제107삼양,129.36702167,35.42929167,0,335,0,0,3,항해(동력),20260824094303
DSAZ6,2026,001,440144990,9126936,선진2호,129.38653333,35.47713167,0,166,0,213,3.5,항해(동력),20260825014422
400,,,440134670,,RA FA EL HO,129.36496833,35.50478667,0,107,0,0,0,,20260823142541
164807,,,440134850,,조광3호,129.38854667,35.50344667,0,216,0,267,0,항해(동력),20260825015003
164803,,,440135110,,선진6호,129.385605,35.477465,0,236,0,0,4,항해(동력),20260824065542
988286,,,440135340,9189433,처용호,129.38943333,35.50196667,0,164,0,256,4.5,항해(동력),20260825014550
,,,440135600,,NEX HO,129.42061333,35.48150833,0,0,0,0,0,,20260825001215
,,,440135720,,DAEKYUNG30HO,129.35952667,35.44270333,6,230,0,0,0,,20260822094446
164804,,,440136010,,대성105호,129.36590167,35.50364333,0,334,0,0,0,항해(동력),20260824114609
164801,,,440136360,,해강11호,129.38150333,35.498135,0,173,0,258,4.5,항해(동력),20260825014628
,,,440136550,,BAEKJO102HO,129.37459833,35.50146833,0,88,0,0,0,,20260824152140
,,,440136670,,SUN JIN HO,129.34107333,35.39299333,0,308,0,0,2.5,항해(동력),20260823004659
160023,,,440137030,160023,태경3호,129.36584833,35.50374,0,47,0,0,0,항해(동력),20260823010547
,,,440137850,,SEOUNG BOK HO,129.51264333,35.590925,7,122,0,0,0,항해(동력),20260825015001
164810,,,440138510,,아라1호,129.37494167,35.500935,8,243,0,0,2.1,,20260822153703
164809,,,440138520,,현대1호,129.37476,35.50158667,0,0,0,0,0,항해(동력),20260825000900
,,,440138940,,BUL KWEYNG HO,129.29717333,35.17913833,1,73,0,0,0,,20260822224140
,,,440139510,,607IL KWANG HO,129.43042667,35.47414167,0,31,0,0,0,,20260825012118
,,,440140250,,MYEONG SEUNG HO,129.438175,35.49351667,0,200,0,0,0,,20260821095447
,,,440140510,,SUN YANG HO,129.339615,35.39317333,3,315,0,0,0,항해(동력),20260821092837
1230HYU,,,440142010,,HYUNDAEHO.WATER,129.38745333,35.50224,0,269,0,0,0,항해(동력),20260821110426
,,,440142700,,608 IL GWANG HO,129.56660833,35.274685,6,4,0,0,0,,20260825005237
980163,,,440142850,980163,삼양호,129.366025,35.50370333,0,0,0,0,0,항해(동력),20260824153836
,,,440143030,,DEOK JIN HO,129.35195333,35.38918333,8,314,0,0,0,,20260822191923
947740,,,440143100,,진산호,129.365295,35.50375333,0,151,0,0,0,항해(동력),20260824172029
098281,,,440143120,,해청1호,129.35396167,35.44072667,0,295,0,0,2.1,항해(비동력),20260819112746
,,,440143300,,DONG WON  HO,129.50499333,35.585805,8,130,0,0,0,,20260825015002
305,,,440143500,,KEUM NAM HO,129.42460167,35.48396333,0,245,0,0,0,항해(동력),20260824081540
,,,440143650,,SUNG JIN HO,129.44987,35.61691667,0,237,0,0,0,,20260824150703
134803,,,440144300,,울산호,129.39216667,35.434,0,116,0,0,4.5,항해(동력),20260825014657
917854,,,440144500,,광성7호,129.365725,35.44492167,0,76,0,0,0,,20260821111407
,,,440144650,,WON JIN HO,129.32002,35.20016333,1,70,0,0,0,,20260824031948
,,,440144810,,GREEN 2HO,129.384105,35.49409333,0,322,0,0,2,항해(동력),20260823163049
961346,,,440145350,,정민호,129.49368667,35.78933,0,200,0,0,0,항해(동력),20260825015005
,,,440145420,,SI EN HO,129.49023,35.41554667,12,4,0,0,0,,20260823130455
1248,,,440145700,,ASIA6 HO,129.37615333,35.50167167,0,157,0,0,0,항해(동력),20260823072331
108278,,,440145730,,선진803호,129.3878,35.50215,0,303,0,280,4,항해(동력),20260824164052
V7EC4,2026,004,538007270,9788954,EDGE GALAXY,129.36008333,35.4475,0,283,0,170,6.4,정박(계류),20260825012531
HOEQ,2026,003,372966000,9809667,팔콘 케미스트,129.57761167,35.24874,12,139,0,147,6.1,항해(동력),20260825014940
134804,,,440145800,,선진101호,129.386715,35.476955,0,200,0,207,4.5,항해(동력),20260824132248
,,,440147240,,CHENG HAE HO,129.27553167,35.24368333,9,325,0,0,0,,20260823092833
214806,,,440147410,,부용21호,129.37937167,35.50259833,0,111,0,0,0,항해(동력),20260824160048
1207C.K,,,440147420,,CHO KWANG NO.11,129.38953833,35.50237167,0,28,0,0,3.8,항해(동력),20260825014804
038263,,,440147750,,태화9호,129.384955,35.49715667,18,312,0,0,3,항해(동력),20260824182152
,,,440147930,,SOO BO HO,129.26348333,35.21594167,7,270,0,0,0,,20260814055648
1201CKH,,,440148080,,CHO KWANG N0.12,129.38644167,35.47717667,0,235,0,0,2.6,항해(동력),20260825014020
,,,440148590,,TERRY HO,129.50541667,35.80867333,0,33,0,0,0,,20260824103110
114808,,,440148970,114808,에스비엠9호,129.39448333,35.42435,0,81,0,0,0,항해(동력),20260825014046
,,,440149290,,KUM SUNG HO,129.396325,35.28472167,8,246,0,0,0,,20260824104531
917748,,,440149650,,백조3호,129.354345,35.46063833,1,72,0,0,0,,20260824162303
114809,,,440149940,,선진11호,129.39165,35.47663333,10,47,0,36,4.5,항해(동력),20260825014124
124802,,,440150650,,조광13호,129.38890333,35.50194333,0,251,0,25,0,항해(동력),20260825014258
124804,,,440151910,,그린5호,129.36518,35.50138667,0,339,0,0,0,,20260820102213
124805,,,440152680,,지엠801호,129.36384167,35.44228667,3,176,0,0,0,,20260824134037
0124808,,,440152970,,ULSANPILOT5,129.374965,35.50154667,0,348,0,0,0,,20260823203050
320,,,440153590,,HAE YOUNG HO,129.26453667,35.25486667,9,338,0,0,0,항해(동력),20260821091628
124809,,,440153840,,에스비엠 11호,129.389295,35.502035,0,0,0,0,4,항해(동력),20260825014659
1200,,,440154540,,ULSAN318,129.37349833,35.501155,0,209,0,0,0,항해(동력),20260824065126
224815,,,440154640,,에코미르호,129.38748833,35.47767667,0,125,0,46,3.8,항해(동력),20260825014029
,,,440154910,,JUPITER,129.38659667,35.47708,0,72,.7142446,217,0,,20260825014625
1251,,,440156480,,GLOBAL 9001,129.40502167,35.488165,0,0,0,0,6.5,,20260825014601
D9QY,,,440157000,9573098,ILSHIN POLARIS ROYAL,129.44899167,35.42895167,0,25,0,220,5,정박(앵커링),20260825014834
,,,440158520,,ULSANJIWON,129.4478,35.526085,0,356,0,356,0,,20260825015005
DSJA8,,,440169000,9540106,탐해3,129.53773667,35.53707333,6,214,-14.46,206,6.2,기동 제한,20260825014952
173514,,,440169070,,111청룡호,129.369595,35.453455,0,0,0,0,3.5,항해(비동력),20260825014656
,,,440169190,,SIN YOUNG HO,129.56249167,35.591295,8,91,0,0,0,,20260825014918
184401,,,440171810,,그로발203호,129.42706833,35.481175,0,0,0,0,0,,20260819104032
500,,,440174080,,SEONGHYEON HO,129.49448667,35.79149,0,12,0,0,0,항해(동력),20260818092030
,,,440174580,,JEONGWONHO,129.51275333,35.81468333,0,150,0,0,0,,20260824105009
,,,440175230,,HAE DONG HO,129.39133833,35.25745667,4,274,0,0,0,,20260824121931
301,,,440176020,,TEAPYUNGYANG HO,129.45249667,35.61788667,0,0,0,0,0,항해(동력),20260824162351
,,,440177360,,HYUN BOK HO,129.325235,35.18595667,2,318,0,0,0,,20260822224142
1259,,,440177480,,BA DA NO.3,129.38964833,35.502315,0,191,0,263,0,,20260825014645
,,,440177890,,G NAM HO,129.23303667,35.216535,6,25,0,0,0,,20260821125754
,,,440179890,,MYUNG SUNG HO,129.505815,35.80525667,0,153,0,0,0,,20260824164018
,,,440181070,,BONG UN HO,129.32149833,35.29567833,5,68,0,0,0,,20260815072024
,,,440182150,,HY GWANGYANG,129.36855,35.49834167,0,156,0,245,1,정박(앵커링),20260825014852
500HAEG,,,440184590,,KCG S-51,129.38744833,35.50316667,0,283,0,0,0,항해(동력),20260824103012
,,,440186150,,KYUNG JIN HO,129.46978,35.42983,2,345,0,0,0,,20260819073525
,,,440187120,,HAE SEONG HO,129.37573333,35.25086833,10,298,0,0,0,,20260824140501
1213,,,440188370,,GM 301HO,129.35936167,35.44802833,0,130,0,0,0,,20260824141906
,,,440189580,,SAM DUCK HO,129.49132167,35.61104,8,101,0,0,0,,20260825015002
,,,440191520,,GM1HO,129.39444333,35.401145,0,202,0,0,0,,20260825013619
190015,,,440196110,,경진에이스,129.36664,35.50276833,0,77,0,0,1,항해(동력),20260824163020
,,,440196180,9889174,JAEWON NIKE,129.68038833,35.43939333,4,212,0,211,5,항해(비동력),20260825015006
090848,,,440197570,,해양8002호,129.44207833,35.52429833,0,23,0,0,0,,20260825014827
194807,,,440198360,,코리아202호,129.37538667,35.50150667,0,343,0,0,0,,20260824152609
154812,,,440201130,,한유마린포스,129.38696667,35.43347833,1,267,0,0,4,항해(동력),20260825014954
,,,440203740,,CHO WON HO,129.26975,35.24593,8,233,0,0,0,,20260823082423
1240,,,440204770,,YURI HO,129.50521167,35.80836333,0,321,0,0,0,항해(동력),20260824090140
,,,440205840,,HWA SEONG HO,129.49445167,35.79007667,0,0,0,0,0,,20260824195313
395,,,440210020,,YOUNG CHANG HO,129.25236167,35.20462333,10,129,0,0,0,,20260824041012
,,,440212040,,PAL DO HO,129.38781,35.50202833,0,188,3.6158633,333,6.6,항해(동력),20260825014645
151058,,,440212560,9355018,미라클 알파,129.43311667,35.18293333,6,192,0,199,5.9,항해(동력),20260825014421
,,,440213680,,BONG SUNG HO,129.25530167,35.21465833,6,117,0,0,0,,20260824060030
1218,,,440213890,,WORLD 1HO,129.37634833,35.50173333,0,263,0,0,0,,20260824065842
240047,,,440215590,9254367,동남 에이스,129.35757667,35.44909,0,187,0,43,6.6,항해(비동력),20260825013037
818155,,,440218230,,아세아8호,129.37597833,35.50162167,1,192,0,0,0,항해(동력),20260822083548
,,,440222010,,DAE SEONG HO,129.37091167,35.38137333,12,293,0,0,0,,20260822032838
500,,,440223380,,DAESU HO,129.50654333,35.80857833,0,301,0,0,0,항해(동력),20260824164648
,,,440224250,,HANSUNGHO,129.213405,35.18341167,4,356,0,0,0,정박(앵커링),20260823080438
6LTE,,,440234000,,무궁화16호,129.23473333,35.21966667,0,0,0,0,4.6,항해(동력),20260824150457
DSFJ2,,,440268000,9005302,수성7,129.35405,35.45859,0,0,0,0,0,,20260825014200
008254,,,440300090,9230024,강산호,129.38785833,35.50229667,0,292,0,289,4.5,항해(동력),20260825014858
0154810,,,440300110,,HEUNGJIN NO5,129.37125,35.45028167,7,286,0,0,7.1,항해(동력),20260825013538
,,,440300130,,HEUNG JIN NO7,129.38830833,35.503615,0,245,0,223,0,항해(동력),20260825014954
,,,440302530,,YOUNG GWANG HO,129.55665333,35.55653167,7,125,0,0,0,낚시,20260825015005
6LJP,,,440305000,9601584,무궁화1호,129.23246667,35.21985,0,0,0,0,4.1,항해(동력),20260813140639
,,,440305360,,5WOOYUNG,129.39677333,35.49417833,2,111,0,0,4.5,항해(비동력),20260825013159
,,,440308290,,YONG O RUM,129.50798333,35.80774167,0,29,0,0,0,,20260823122333
075711,,,440310490,9155810,광양리더호,129.61233333,35.813665,11,5,0,3,5.3,항해(동력),20260825014958
,,,440310720,,MIR HO,129.36733167,35.49827667,0,272,0,326,0,,20260825014957
1219,,,440313350,,GM 701 HO,129.359355,35.448105,0,117,0,0,10.1,,20260824170323
1264,,,440314220,,WOO WON 2HO,129.370915,35.49981833,9,252,0,0,0,항해(동력),20260823122602
1247,,,440315030,,KCG 527,129.69120167,35.57799333,4,206,0,207,0,,20260825010742
,,,440315510,,SOO UN HO,129.44983333,35.61692,0,238,0,0,0,,20260824144617
,,,440315720,,ESCORTHO,129.50787667,35.80765833,0,0,0,0,0,,20260824223715
1211,,,440315770,,KOREA 205,129.37541667,35.501535,0,304,0,0,3.6,항해(동력),20260823144626
365,,,440319130,,HAE KWANG 8002,129.36774167,35.41446667,1,68,0,0,0,항해(동력),20260823223518
,,,440323070,,YU YOUNG HO,129.23449333,35.18250833,6,37,0,0,0,,20260824100139
501,,,440323450,,DAEWONHO,129.42880833,35.48481,0,24,0,0,0,항해(동력),20260824092552
,,,440323510,,DONG SUNG HO,129.45008,35.61537,0,0,0,0,0,,20260825014800
,,,440327270,,HAE UN HO,129.24641333,35.25821833,0,239,0,0,0,항해(동력),20260822105657
1290,,,440327360,,ASIA1HO,129.37583833,35.50160333,0,141,0,0,0,,20260824080533
6VQ8,,,440328790,,HAEKANG NO.101,129.38884,35.50369667,0,326,.4,101,1,항해(비동력),20260825014938
132807,,,440328880,,209현대호,129.37086833,35.50034,0,359,-.17856115,30,3.5,,20260821204634
1277,,,440329020,,BAEKJO101HO,129.3911,35.48927167,10,161,0,0,0,항해(동력),20260825014625
005798,,,440329490,,1세진호,129.36441667,35.504755,1,31,0,0,0,,20260823080248
00126,,,440330710,,CHOKWANG201,129.38784833,35.50194333,0,185,0,180,3.6,,20260825014924
1297,,,440331290,,MAN GYEONG HO,129.42936333,35.48456333,0,0,0,0,0,항해(동력),20260819084330
,,,440331860,,KOREA 301HO,129.387415,35.50545333,1,350,0,0,0,,20260821101018
1280,,,440331920,,2 HAE JEONG,129.45248333,35.61801833,0,116,0,0,0,항해(동력),20260824142510
975691,,,440333030,,103아시아호,129.364415,35.50498667,0,0,0,0,2.9,,20260824203641
,,,440334920,,YEUN DEUNG HO,129.52297333,35.80897333,9,226,0,0,0,,20260823152836
DSNW8,,,440383000,9336622,무궁화30호,129.23124167,35.22039833,0,0,0,0,0,정박(계류),20260824145841
503,,,440400460,,708DAEMYUNG HO,129.503695,35.80724833,0,0,0,0,0,항해(동력),20260819130450
,,,440152760,,JIN NAM HO,129.372575,35.32027167,10,154,0,0,0,,20260825013841
,,,440152820,,KEYNG KUM HO,129.42452,35.48407,0,352,0,0,0,,20260824133753
,,,440401160,,107MYUNGJIN,129.627155,35.72973667,11,312,0,0,0,,20260825015002
JW#<AYR,,,440402720,110903296,S-125,129.34889333,35.39034,7,252,0,0,.1,항해(동력),20260824151540
244813,,,440404930,,월드3호,129.37822,35.50128,12,289,0,82,0,,20260825013422
,,,440405720,,KCG OSRV-13,129.38738667,35.50684167,0,197,0,257,0,,20260825015005
,,,440408160,,BI GEUM HO,129.45139833,35.61493833,0,193,0,0,0,,20260824131804
,,,440411270,,88BU YEONG,129.69495833,35.75106833,10,113,0,0,0,,20260823034234
,,,440411950,,1 DEA YANG HO,129.52539,35.66717,2,34,0,0,0,,20260825015007
,,,440412550,,DAE DONG HO,129.45013333,35.65145667,0,231,0,0,0,,20260822125509
,,,440413110,,BUYOUNGHO,129.50332667,35.806745,0,10,0,0,0,,20260824193756
D9RP,,,440430000,8024947,해양오호,129.36745333,35.50209167,0,209,0,359,4.3,항해(동력),20260825015005
DTTA,,,440460000,9121584,무궁화6호,129.23055333,35.22079167,0,0,0,326,3.5,항해(동력),20260820150448
963757,,,440500007,,해성3호,129.36984667,35.50044167,0,42,0,0,0,항해(동력),20260813092112
D9AG,,,440500014,,201해송호,129.35015333,35.276675,7,43,0,0,0,항해(동력),20260825013834
,,,440501020,,DONG BACK HO,129.323445,35.30599833,6,289,0,0,0,,20260824075719
,,,440502810,,DONG HEA HO,129.42557,35.48492333,0,286,0,0,0,,20260821143844
,,,440503490,,27 DAE SUNG HO,129.2879,35.23479333,7,32,0,0,0,,20260824051857
,,,440504020,,DAE SUNG HO,129.31144167,35.225325,4,252,0,0,0,,20260823074844
,,,440507740,,CHEON SU,129.52032167,35.80073833,9,301,0,0,0,,20260824120734
,,,440508360,,YOON SUNG HO,129.26624667,35.29946167,9,289,0,0,0,,20260823133458
,,,440600070,,JE IL 5 HO,129.37237333,35.29231167,7,269,0,0,0,,20260824085951
1244HAE,,,440600859,,KCG S-50,129.45166667,35.615,2,202,0,0,0,,20260824212412
313,,,440602020,,KANG NAM HO,129.26099833,35.24234167,6,226,0,0,0,,20260823104838
,,,440602360,,DAESEONG109HO,129.35452,35.44009833,1,209,0,0,0,,20260824144342
D7OJ,,,440680000,,HYUNDAI10000,129.40387667,35.47796,0,233,0,359,6,항해(비동력),20260825014235
1263,,,440701030,,SUN JIN NO.901,129.38843,35.50240833,0,228,-.18,271,3,,20260825015007
102184,,,440706070,,고래바다여행,129.380135,35.50281167,0,237,0,0,2.5,항해(동력),20260823132104
,,,440706410,,HAN BA DA HO,129.337185,35.3941,0,176,0,0,0,,20260824110640
234805,,,440706660,,GWANGSUNG 13HO,129.37562,35.50154,0,0,0,0,0,,20260825014338
184802,,,440707920,,일광호,129.43137833,35.481505,0,102,0,0,0,,20260821105145
094040,,,440708170,,홍준호,129.37475833,35.501495,0,0,0,0,7.1,,20260825000522
DSOJ7,,,440763000,9183960,선진909호,129.38894667,35.50223833,0,14,0,0,4.5,항해(동력),20260825014600
HDLW,,,440800073,,P169 S/T,129.43948333,35.50731667,0,116,0,0,0,항해(동력),20260822142448
,,,440800487,,ROK GOV VESSEL,129.755495,35.378655,6,38,0,0,0,,20260818195033
DTBQ3,,,440891000,9368565,무궁화32호,129.23483,35.21970667,0,234,0,0,3.8,항해(동력),20260824153504
DSOP8,,,441077000,9121027,창양,129.425345,35.209555,9,215,0,216,7.9,항해(동력),20260825014943
,,,441131450,,WOO JU HO,129.57674333,35.59300167,8,106,0,0,0,,20260825014911
HSB7463,,,441145000,9005950,THAILAEMTHONG 9,129.23333333,35.21833333,0,190,0,0,0,항해(비동력),20260824183208
D7UZ,,,441274000,9877195,308 HYODONG CHEMI,129.43194167,35.44622833,0,302,0,212,5,정박(앵커링),20260825014235
D7EN,,,441411000,9373113,디케이 아이웨이,129.54678333,35.32991667,6,209,0,210,4.2,항해(동력),20260825014959
DSAS,,,441570000,,KCG1009,129.38792833,35.50720667,0,135,0,170,4.5,항해(동력),20260820140850
988247,,,441844000,,제101세진호,129.36589833,35.503755,0,150,0,0,0,항해(동력),20260822170500
VRSS8,,,477326200,9856048,SUNNY FREESIA,129.57688833,35.20523,12,310,0,304,6.6,항해(동력),20260825014538
ABCD,,,538000000,1048918,AL GHUWAIR-SEA TRIAL,129.44224333,35.52849,0,53,0,265,0,,20260825015006
V7A5905,,,538010335,9448712,PETITE SOEUR,129.370625,35.44405,0,227,0,51,7.5,정박(계류),20260825014613
V7A6899,,,538011280,1052737,ALKIMOS,129.40637167,35.49014833,0,0,0,207,7.5,정박(계류),20260825014052
V7A3069,,,538011516,1081130,WORLD STAR S/T,129.404025,35.48651833,0,0,0,0,0,정박(계류),20260825012651
V7A3692,,,538011937,1049883,ETHANE DIAMOND S/T,129.406345,35.47385333,0,58,-.18,328,0,,20260825014025
S6UK8,,,563334700,9981556,QAFFAL,129.43955,35.52512333,0,251,0,179,10,정박(계류),20260825013339
S6UH6,,,563336800,9981544,AL MAZROOAH S/T,129.40214333,35.47600833,0,214,0,89,9,기동 제한,20260825013616
9VCC7,,,563340100,1049144,PURUS INEOS BAMBLE,129.434325,35.50488,0,227,0,49,0,정박(계류),20260822163740
9VCC6,,,563343700,1051252,PI GREEN LAKE,129.432635,35.507435,0,0,0,187,0,정박(계류),20260820132202
A8WN2,,,636014783,9450739,ORIENT PRIDE,129.56959667,35.230155,11,142,.04,155,8.1,항해(동력),20260825014939
D5WY9,,,636019957,9715945,FORTUNE SWALLOW,129.386015,35.515125,0,230,0,358,4.8,정박(계류),20260825013220
D5YE8,,,636020221,9893591,KMTC SHIMIZU,129.420565,35.41251167,13,339,0,334,10.5,항해(동력),20260825015006
5LWA4,,,636025144,1054163,GAS ALTAIR,129.40338333,35.47656667,0,171,0,0,12,정박(계류),20260825012529
5LWQ3,,,636025272,9330460,QD SPRING,129.38049167,35.49900333,0,187,0,332,6.1,정박(계류),20260825014900
S9A3216,,,668116416,8357136,KANG HUA 7,129.68179833,35.52861167,7,192,0,194,4.9,항해(동력),20260825015004
,,,440402240,,AN SEONG HO,129.46569667,35.61849833,8,272,0,0,0,,20260824125706
,,,440402680,,105 MYUNG RANG,129.50637167,35.80864333,0,357,0,0,0,,20260824145505
